# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	17803
#@/user_id	cf997197-045b-493e-a5f1-5892b82db517
dyw 	碎	c=1 d=1 t=13048
e 	有	c=97 d=2.33571 t=17735
eaj 	腊	c=2 d=1.92312 t=7215
eb 	服	c=149 d=1 t=17629
eee 	月	c=7 d=2.55141 t=17024
eeee 	月	c=1 d=1 t=157
efc 	肢	c=1 d=1 t=5598
efcb 	脚	c=2 d=1.99005 t=7639
eg 	且	c=1 d=1 t=7766
en 	甩	c=1 d=1 t=14901
es 	采	c=3 d=1 t=17363
et 	用	c=337 d=3.66822 t=17786
etg 	胜	c=2 d=1.00362 t=12958
etya 	用度	c=1 d=1 t=3820
ew 	脸	c=1 d=1 t=17269
ey 	及	c=23 d=1.00179 t=17350
eyb 	脑	c=3 d=1 t=11626
eyni 	脉	c=1 d=1 t=12626
f 	地	c=7 d=2.05506 t=17691
fa 	载	c=1 d=1 t=7791
fakg 	域	c=2 d=1.75957 t=17641
fal 	载	c=15 d=1.20291 t=15396
falw 	戴	c=4 d=1.29969 t=17118
faw 	截	c=4 d=1 t=17561
fc 	支	c=17 d=1.848 t=17282
fcl 	动	c=56 d=1.08067 t=17247
fclw 	运输	c=3 d=1 t=13828
fcp 	运	c=20 d=1.96572 t=17657
fcu 	云	c=29 d=1.00002 t=17228
fcu 	去	c=17 d=1.13113 t=17736
fcu 	支	c=1 d=1 t=285
fd 	城	c=3 d=1.00005 t=9819
fdf 	震	c=11 d=1 t=16864
fdm 	需	c=47 d=1.84803 t=17076
fdmm 	顬	c=1 d=1 t=3387
fdn 	城	c=6 d=1.96561 t=17686
fe 	圾	c=1 d=1 t=15893
fffy 	封	c=2 d=1.0048 t=13161
ffhw 	填	c=1 d=1 t=9416
ffhy 	卦	c=1 d=1 t=12559
fg 	二	c=7 d=1 t=13059
fggh 	干	c=1 d=1 t=8279
fgh 	十	c=6 d=1.98511 t=13060
fghy 	寸	c=1 d=1 t=15804
fh 	直	c=8 d=1.01139 t=16311
fhn 	起	c=7 d=1.00024 t=17487
fhq 	赵	c=1 d=1 t=13956
fhqv 	趋	c=1 d=1 t=9954
fhv 	超	c=1 d=1 t=1319
fhw 	真	c=13 d=4.39891 t=16378
fi 	示	c=34 d=2.7482 t=15410
fii 	未	c=3 d=1.00001 t=17564
fiy 	求	c=23 d=1.64149 t=15179
fj 	进	c=27 d=1.27382 t=17534
fku 	喜	c=1 d=1 t=16753
fl 	协	c=3 d=1.97531 t=14892
flfh 	无思无虑	c=1 d=1 t=6762
